latitude,longitude,snow_thickness
78.252372167,16.158405667,1.133446986828326
78.252372167,16.158405667,1.0553560333493728
78.252384833,16.158537833,1.0323586050046312
78.252384833,16.158537833,1.0651666801695847
78.2523995,16.1586705,1.133154859791429
78.2523995,16.1586705,1.1299113776662837
78.252413667,16.158802,1.1266678955411384
78.252413667,16.158802,1.1276462819642052
78.252428333,16.158936,1.1726973060870822
78.252428333,16.158936,1.1741021263705846
78.252443667,16.1590715,1.1818448190927262
78.252443667,16.1590715,1.1699708858366642
78.252459,16.159209333,1.1660969874791256
78.252459,16.159209333,1.1562877412455894
78.252474667,16.159348167,1.1268948748138048
78.252474667,16.159348167,1.1302647710891105
78.2524905,16.159491333,1.113099737592818
78.2524905,16.159491333,1.073112774944558
78.252506,16.1596405,1.0624957726387272
78.252506,16.1596405,1.0482503465356758
78.252521667,16.159789833,1.042578641211519
78.252521667,16.159789833,1.093523153427571
78.2525375,16.159938167,1.1727838400631678
78.2525375,16.159938167,1.1155129408360551
78.252553667,16.160088333,1.123310722965161
78.252553667,16.160088333,1.115826024733387
78.252570167,16.160236833,1.10834132650161
78.252570167,16.160236833,1.1277570718770369
78.252586667,16.160382167,1.0605700718178903
78.252586667,16.160382167,0.9792179854495762
78.252603167,16.160527667,1.0332549526878745
78.252603167,16.160527667,1.0827696358767622
78.2526205,16.160673667,1.0763187090293762
78.2526205,16.160673667,1.066796667894956
78.252637833,16.160817833,1.0721839107776594
78.252637833,16.160817833,1.0724784698693617
78.252654167,16.160963,1.0727730289610635
78.252654167,16.160963,1.0730675880527656
78.252668833,16.161105167,1.0733621471444672
78.252668833,16.161105167,1.0741139975337064
78.2526845,16.161245667,1.0785666088703711
78.2526845,16.161245667,1.0759349799695008
78.252701,16.161389833,1.118682777775589
78.252701,16.161389833,1.0959914729562348
78.252716833,16.161535333,1.0733001681368806
78.252716833,16.161535333,1.0506088633175263
78.252733333,16.161685167,1.002530237872641
78.252733333,16.161685167,0.9978160977380246
78.2527495,16.161834167,1.0147981478114578
78.2527495,16.161834167,1.0291577167805543
78.252766167,16.161982667,1.0423761773782598
78.252766167,16.161982667,1.0878815455167696
78.2527845,16.162133,1.108111084039561
78.2527845,16.162133,1.0881466721469748
78.252802167,16.162282,1.0589418625394549
78.252802167,16.162282,1.0016840636320588
78.252819667,16.162433167,0.9734575683996688
78.252819667,16.162433167,0.9738338899544003
78.2528365,16.162579667,0.9753408531254176
78.2528365,16.162579667,1.006146961866005
78.252853833,16.162727167,1.090944078896887
78.252853833,16.162727167,1.0464172824097375
78.2528715,16.162875167,0.9873630133610416
78.2528715,16.162875167,0.9552790221341698
78.252887833,16.163029833,1.017806745584506
78.252887833,16.163029833,1.0803344690348422
78.2529045,16.163182,1.1396564117549293
78.2529045,16.163182,1.0388213401876678
78.252921,16.163330333,1.0345600519943774
78.252921,16.163330333,1.0417701946863889
78.252936333,16.163479667,1.0361107747500884
78.252936333,16.163479667,0.980391763138072
78.252952833,16.1636285,0.9048221203013652
78.252952833,16.1636285,0.8969559342911302
78.252968667,16.163773833,0.9170216566591992
78.252968667,16.163773833,0.9370159036711874
78.252983833,16.163926333,0.9657822723870776
78.252983833,16.163926333,0.9988162081711968
78.252999,16.164076167,1.0297267011739213
78.252999,16.164076167,1.0059004022456834
78.2530145,16.164223833,0.9834905920148984
78.2530145,16.164223833,0.98596466711508
78.253032333,16.1643745,1.0089589951750852
78.253032333,16.1643745,1.0010375647107743
78.2530495,16.164525333,0.9839357835230828
78.2530495,16.164525333,0.9834188459171052
78.253066,16.164673667,0.9829387354461004
78.253066,16.164673667,0.9336174601607938
78.253082833,16.164820333,0.9496463319247636
78.253082833,16.164820333,1.0259718542745797
78.253099833,16.164966167,1.06745882486218
78.253099833,16.164966167,1.022456472201053
78.253116667,16.165113,1.0053645234432151
78.253116667,16.165113,1.0433331428532615
78.253133833,16.165268667,1.0615958065387927
78.253133833,16.165268667,1.0764004698188248
78.253150333,16.165419667,1.0485258778777613
78.253150333,16.165419667,1.0412234920118313
78.253166333,16.165571833,1.0777347691508266
78.253166333,16.165571833,1.151464887786872
78.253183833,16.1657215,1.1955468906000308
78.253183833,16.1657215,1.2327816698185223
78.2532,16.165873667,1.1702525370383785
78.2532,16.165873667,1.0913075834347914
78.2532165,16.166027833,1.0537944751225723
78.2532165,16.166027833,1.0672973089332118
78.253233667,16.166181,1.0709633127302314
78.253233667,16.166181,1.0481088936037692
78.253250667,16.166333167,1.0249145463508298
78.253250667,16.166333167,0.978738714423538
78.253267333,16.1664845,0.9325628824962462
78.253267333,16.1664845,0.9419993114450262
78.253284167,16.1666395,0.9717988258942344
78.253284167,16.1666395,1.0525708274151684
78.253300667,16.166797333,1.0679807402238797
78.253300667,16.166797333,1.0328866560883767
78.253318167,16.166952333,0.9950576763379452
78.253318167,16.166952333,0.97568723088694
78.253335667,16.167106667,0.8701159361167514
78.253335667,16.167106667,0.8406673909238349
78.2533535,16.167259333,0.8648361725158611
78.2533535,16.167259333,0.9706917524509222
78.253370667,16.167411333,0.9280881508457912
78.253370667,16.167411333,1.0443889547845897
78.253386833,16.167567167,1.0518462310272905
78.253386833,16.167567167,1.0265455569022244
78.253402667,16.167724167,1.0961979308890095
78.253402667,16.167724167,1.1368284950780878
78.253417833,16.167881,0.9839758747733542
78.253417833,16.167881,1.0228112380320302
78.253432833,16.168038167,1.01179408765652
78.253432833,16.168038167,1.0122277589759598
